name,value,year,lastValue,rank
Jordan,6788,2018,6254.400000003,1
Jordan,6254.400000003,2017.9,5666.799999999,1
Jordan,5666.799999999,2017.8,5233.200000001,1
Jordan,5233.200000001,2017.7,4881.599999997,1
Jordan,4881.599999997,2017.6,4392,1
Jordan,4392,2017.5,3876.400000003,1
Jordan,3876.400000003,2017.4,3244.799999999,1
Jordan,3244.799999999,2017.3,2988.200000001,1
Jordan,2988.200000001,2017.2,2356.599999997,1
Jordan,2356.599999997,2017.1,1720,1
Jordan,1720,2017,1588.500000001,1
Jordan,1588.500000001,2016.9,1350,1
Jordan,1350,2016.8,890.5,1
Jordan,890.5,2016.7,580.999999999,1
Jordan,580.999999999,2016.6,300.5,1
Jordan,300.5,2016.5,50.000000001,1
Jordan,50.000000001,2016.4,0,1
